pago_id;monto;fecha;id_usuario;preorden;id_proveedor;id_videojuego
5600;49800;10-12-21;134;FALSE;6;7344
5284;11550;18-08-20;149;FALSE;1;960
5884;47000;16-11-21;45;FALSE;6;358
3767;18150;08-04-21;116;TRUE;4;231
3493;25960;18-09-21;102;TRUE;1;59
5454;40150;06-02-21;136;TRUE;4;75
5863;22400;26-11-20;45;FALSE;5;1020
3575;22400;23-05-21;104;FALSE;6;1942
5652;5500;12-10-20;86;TRUE;4;733
5421;28050;05-11-20;136;FALSE;5;559
3614;36450;05-03-20;115;FALSE;3;233
5102;46800;10-07-21;83;FALSE;2;343
6268;37500;12-10-20;132;FALSE;4;7331
4603;29050;08-01-20;120;FALSE;5;7344
5917;8750;10-10-20;144;FALSE;6;427
5566;37950;23-11-20;36;FALSE;2;501
5737;15500;13-10-21;80;FALSE;3;1331
3522;4000;10-05-21;22;FALSE;1;121
5062;54000;12-08-20;82;FALSE;5;8173
5880;8750;13-01-20;45;FALSE;6;427
4788;6000;08-06-20;64;FALSE;2;40
4025;21500;03-07-20;89;FALSE;3;1352
4027;13500;18-04-21;89;FALSE;3;537
6358;23450;17-06-20;100;FALSE;3;73
5697;12950;21-07-21;139;FALSE;1;1011
6330;57750;04-04-21;76;FALSE;2;11133
4349;24300;24-02-21;148;FALSE;1;1887
6042;33500;04-04-20;138;FALSE;6;1029
5400;15500;21-05-20;84;FALSE;3;1331
4798;38000;28-04-20;150;FALSE;1;622
5933;10800;29-11-20;46;FALSE;2;537
3726;19600;24-01-20;108;FALSE;2;1266
3494;70200;20-04-21;102;FALSE;1;8173
6212;71500;17-04-20;135;FALSE;5;478
5496;33500;15-08-21;91;FALSE;4;73
5770;5250;21-12-20;10;FALSE;1;40
4656;39000;05-12-21;142;FALSE;1;116
4573;32450;25-02-21;126;FALSE;2;59
5972;47000;11-12-21;44;FALSE;6;358
5780;52800;04-01-20;10;TRUE;4;434
4501;15950;26-02-20;74;FALSE;2;1802
4125;6000;07-09-21;54;FALSE;2;40
5616;40755;20-09-20;134;TRUE;3;127
3483;13000;24-08-20;102;FALSE;1;732
3658;37600;04-09-20;9;FALSE;3;128
4299;35200;25-02-20;105;FALSE;3;7599
4631;22400;29-09-20;106;FALSE;6;1942
5332;23650;13-07-21;32;TRUE;3;1352
3624;3300;29-08-21;122;FALSE;6;7346
4370;37950;26-02-20;23;FALSE;2;501
4106;20400;22-04-21;40;FALSE;2;3025
5281;39000;28-02-20;88;FALSE;4;2993
4109;52000;22-05-20;40;FALSE;2;16
5728;41600;27-05-20;80;FALSE;2;1942
4385;8050;14-03-21;23;FALSE;2;730
4351;39000;27-04-21;148;FALSE;4;2993
5020;40250;10-10-21;121;FALSE;5;7342
3549;35200;06-04-20;145;FALSE;3;7599
3840;49800;23-08-20;101;FALSE;6;7344
4355;57000;15-04-21;148;FALSE;4;11156
5463;3300;04-02-20;136;FALSE;6;7346
6309;66300;19-03-21;94;FALSE;1;1970
5908;8750;14-12-20;69;FALSE;1;1121
4703;75075;19-09-21;133;TRUE;5;11133
6029;51500;23-04-21;138;FALSE;4;19565
3868;65450;23-08-20;146;FALSE;5;1372
4104;31150;04-08-20;40;FALSE;1;979
6063;57750;13-08-20;113;FALSE;2;11133
5576;35000;02-02-21;36;FALSE;4;1985
3497;43120;07-09-20;102;TRUE;1;21
5321;44275;21-04-21;32;TRUE;5;7342
6299;30195;07-09-21;94;TRUE;1;109
5721;28800;10-08-21;139;FALSE;3;1942
3928;70070;09-02-21;99;TRUE;2;21
5487;18500;07-03-20;91;FALSE;6;1026
4905;4000;02-01-21;47;FALSE;2;733
6118;28500;14-07-21;140;FALSE;4;127
6338;44200;30-12-20;76;FALSE;2;25076
5101;34200;27-04-20;83;FALSE;2;622
4984;15500;03-12-20;111;FALSE;3;1331
5554;14300;28-06-21;38;FALSE;5;15
4253;13000;08-09-21;143;FALSE;4;15
5730;66000;27-05-20;80;FALSE;3;545
5692;20405;06-05-21;12;TRUE;6;673
5327;41800;06-10-20;32;FALSE;5;622
3492;57200;19-12-20;102;FALSE;1;343
5756;33150;24-04-21;80;FALSE;5;3025
6197;39000;24-01-20;135;FALSE;1;116
4621;60500;09-07-20;120;TRUE;2;529
6068;10150;18-09-21;113;FALSE;2;538
5465;8750;19-03-20;19;FALSE;6;427
5512;46800;18-03-20;38;FALSE;2;343
6133;29750;01-12-21;129;FALSE;1;500
3645;41600;04-06-20;9;FALSE;2;1942
3808;40150;20-03-20;107;TRUE;4;75
5126;40150;19-06-20;28;TRUE;4;75
5449;4000;30-01-21;136;FALSE;1;121
5713;41500;20-08-20;139;FALSE;4;6801
4604;45980;29-05-20;120;TRUE;5;622
4694;40755;24-05-21;27;TRUE;3;127
5331;52000;19-09-20;32;FALSE;3;16
4986;31050;09-09-20;111;FALSE;6;1262
5871;17150;16-03-21;45;FALSE;5;1266
4042;40250;28-03-20;96;FALSE;5;7342
5343;55500;22-02-21;13;FALSE;4;1009
6097;23450;02-06-20;78;FALSE;3;73
5943;12500;10-05-21;46;FALSE;4;1121
5800;31050;15-10-20;30;FALSE;6;14593
3590;31050;06-12-21;115;FALSE;6;14593
5781;59500;10-09-20;10;FALSE;4;1372
4122;44000;05-06-21;54;FALSE;2;478
5218;20150;20-05-20;123;FALSE;6;1331
4750;68250;27-04-20;124;FALSE;5;11133
3637;33550;21-12-20;9;FALSE;2;71
4316;60000;16-01-21;105;FALSE;4;472
5680;3300;28-03-20;12;FALSE;6;7346
5032;24500;21-06-21;121;FALSE;4;1266
5295;20150;13-08-20;149;FALSE;6;1331
5867;9200;20-09-21;45;FALSE;5;730
5199;20000;31-01-21;90;FALSE;4;512
5350;41500;05-03-20;92;FALSE;4;6801
4919;22750;06-11-21;47;FALSE;1;72
3852;15500;10-05-20;146;FALSE;4;1331
4517;5250;04-08-20;74;FALSE;1;40
5310;38500;30-11-20;32;FALSE;4;623
5877;59400;12-06-20;45;FALSE;3;8173
5220;9200;29-04-21;118;FALSE;5;12517
4679;15500;27-05-21;142;FALSE;6;974
3904;39200;09-02-20;127;FALSE;1;21
5231;15500;31-12-20;118;FALSE;6;974
4088;24500;18-02-21;137;FALSE;4;1266
5194;10500;20-01-21;85;FALSE;4;960
3909;21000;27-06-21;127;FALSE;1;866
5776;20000;19-05-21;10;FALSE;4;512
5150;47000;13-07-21;28;FALSE;6;358
3751;70200;27-03-20;108;FALSE;1;8173
5575;46750;16-10-20;36;TRUE;4;2207
6304;15500;01-05-21;94;FALSE;1;1331
4707;4000;21-07-20;133;FALSE;3;733
3837;8750;10-06-21;101;FALSE;6;427
5273;33500;14-01-20;88;FALSE;6;1029
4206;25500;16-01-21;93;FALSE;4;3025
3912;4000;13-10-20;127;FALSE;1;121
4991;50700;29-04-20;87;FALSE;5;116
5772;52195;07-12-21;10;TRUE;1;75
6076;9600;27-08-20;78;FALSE;6;1871
4339;9600;18-03-20;148;FALSE;6;1871
5745;18500;26-03-21;80;FALSE;6;1026
5333;37950;27-03-20;32;FALSE;3;1262
4230;61100;23-08-20;143;FALSE;5;128
4971;4400;28-04-21;111;TRUE;3;733
4789;13000;10-10-21;150;FALSE;1;732
5562;44200;01-02-21;36;FALSE;2;25076
5550;31050;31-08-21;38;FALSE;6;14593
3529;22750;25-04-20;22;FALSE;1;72
3705;18000;25-04-20;97;FALSE;6;11198
6248;24300;15-09-21;95;FALSE;5;1887
4493;24300;02-01-20;74;FALSE;3;1887
4550;13000;31-03-20;117;FALSE;4;15
5989;26500;03-08-21;98;FALSE;4;673
6048;70200;21-04-20;113;FALSE;1;8173
4697;13500;30-01-20;27;FALSE;3;537
4811;24300;01-12-20;150;FALSE;3;1887
5136;41500;05-07-21;28;FALSE;4;6801
4078;24400;14-12-20;137;FALSE;1;71
6341;57750;05-07-21;100;FALSE;2;11133
4655;4000;18-04-21;142;FALSE;1;121
4166;44275;04-01-20;112;TRUE;5;7342
5196;37950;04-01-21;85;FALSE;2;501
3737;13000;27-05-20;108;FALSE;4;15
3741;15500;30-03-21;108;FALSE;4;1331
4643;9100;12-05-20;106;FALSE;3;15
3715;24150;04-10-20;97;FALSE;2;14593
4814;9750;14-02-20;150;FALSE;3;40
5255;21000;08-07-21;88;FALSE;1;866
4997;49500;09-04-20;87;TRUE;5;529
3858;4000;14-04-21;146;FALSE;2;733
6215;25600;02-10-20;135;FALSE;5;1942
5382;31050;30-03-20;35;FALSE;6;1262
5461;54000;05-02-21;136;FALSE;6;8173
5052;39000;06-02-20;121;FALSE;6;116
4944;16335;10-11-20;128;TRUE;1;231
5920;33500;28-08-21;144;FALSE;6;1029
5088;21000;05-05-20;82;FALSE;3;72
3999;40755;22-12-20;77;TRUE;3;127
5858;18000;30-12-20;45;FALSE;1;37
5902;15950;20-04-21;69;FALSE;2;1802
5091;39000;17-03-21;83;FALSE;6;116
3552;31150;07-02-21;145;FALSE;1;979
4298;29400;09-09-20;105;FALSE;3;1266
3627;24500;18-04-21;122;FALSE;4;1266
3927;12000;08-11-20;99;FALSE;2;38
5597;18000;04-02-20;134;FALSE;6;11198
4188;8750;21-03-21;112;FALSE;6;427
4459;30500;12-09-20;11;FALSE;4;71
5167;38500;29-09-21;85;FALSE;5;623
4969;44550;12-10-20;111;FALSE;5;233
4931;28000;24-04-21;47;FALSE;4;1020
4629;24500;04-09-20;106;FALSE;4;1266
5965;18550;05-11-20;44;FALSE;6;673
5339;4000;12-02-20;13;FALSE;1;121
5179;47000;23-06-21;85;FALSE;6;358
5349;52000;08-09-20;13;FALSE;4;343
6028;19000;11-07-20;138;FALSE;4;247
5580;18000;15-04-21;36;FALSE;4;37
5803;50600;02-07-20;30;TRUE;6;7342
5081;9100;20-06-21;82;FALSE;3;15
5012;26500;04-03-21;87;FALSE;4;673
5153;55000;26-04-21;28;FALSE;3;478
3691;10000;02-02-20;97;FALSE;3;427
6280;27600;22-11-20;132;FALSE;1;14593
4491;33750;29-07-20;74;FALSE;3;533
5998;29050;12-05-20;98;FALSE;2;7344
4323;29050;20-08-21;41;FALSE;3;7344
4045;27300;02-10-21;96;FALSE;5;1164
5448;26500;01-05-20;136;FALSE;1;673
4549;14500;11-07-21;117;FALSE;4;565
6235;31050;28-02-20;135;FALSE;6;14593
5538;18000;16-01-21;38;FALSE;6;11198
6075;31050;12-09-20;78;FALSE;6;1262
3810;12500;09-09-20;107;FALSE;4;1121
5225;45450;03-10-21;118;FALSE;3;7323
5578;19000;28-11-21;36;FALSE;4;247
3728;10150;15-07-20;108;FALSE;2;538
4869;4400;14-10-21;103;TRUE;3;733
6013;12950;02-06-21;138;FALSE;1;1011
4336;50600;27-05-21;148;TRUE;6;7342
5224;21000;16-02-21;118;FALSE;3;72
6060;33550;25-02-20;113;FALSE;2;71
5771;13500;13-01-21;10;FALSE;1;537
4866;24300;02-09-21;141;FALSE;1;1887
3625;18000;23-11-21;122;FALSE;6;11198
4574;10000;08-01-20;126;FALSE;2;732
3541;46500;22-04-20;22;FALSE;5;7351
4115;19600;09-01-21;54;FALSE;2;1266
4978;8050;12-01-20;111;FALSE;3;730
5778;17500;15-11-20;10;FALSE;4;431
4560;52000;08-02-20;117;FALSE;3;343
6167;45000;28-09-21;130;FALSE;5;529
6025;54000;01-11-21;138;FALSE;4;8173
3885;15500;16-10-21;146;FALSE;6;974
5264;30800;29-01-21;88;FALSE;2;1020
3536;34500;16-02-20;22;FALSE;1;501
5413;34200;17-04-20;136;FALSE;5;127
4390;36500;27-12-20;23;FALSE;4;75
4006;15950;01-07-21;89;FALSE;6;1802
4289;25500;17-11-21;79;FALSE;4;3025
5959;50000;02-04-20;44;FALSE;3;529
4614;22400;30-08-20;120;FALSE;6;1942
5893;55500;30-10-20;69;FALSE;4;1009
4699;6000;20-05-20;133;FALSE;2;40
3921;31150;16-07-21;99;FALSE;1;979
4167;71500;07-10-21;112;FALSE;5;478
5346;42500;04-06-20;13;FALSE;4;500
5963;9200;19-11-21;44;FALSE;6;12517
5813;29500;14-03-20;30;FALSE;4;59
3799;33550;14-02-20;107;FALSE;2;71
6278;3630;12-03-20;132;FALSE;1;124
3735;52800;31-08-20;108;TRUE;4;434
4226;52000;23-02-21;143;FALSE;3;343
6237;47000;19-10-21;135;FALSE;6;358
5301;9600;30-10-20;149;FALSE;6;1871
5113;9750;11-07-20;83;FALSE;3;40
5725;12600;27-06-20;80;FALSE;2;37
5841;19000;23-08-21;45;FALSE;2;39
6117;40800;18-12-20;140;FALSE;3;25076
3680;24300;21-08-21;109;FALSE;5;1887
5182;49800;27-11-20;85;FALSE;6;7344
5968;31050;17-12-20;44;FALSE;6;14593
5176;50600;24-05-21;85;TRUE;6;7342
3959;25550;25-03-21;125;FALSE;3;75
6186;18000;12-07-20;130;FALSE;6;11198
3693;34300;30-09-21;97;FALSE;3;21
4716;20150;07-04-20;133;FALSE;6;1331
4236;20150;24-05-20;143;FALSE;6;1331
5181;39000;02-09-20;85;FALSE;6;116
4245;31050;18-01-21;143;FALSE;6;1262
3867;29050;03-04-20;146;FALSE;5;7344
6249;61200;30-11-20;95;FALSE;5;1970
6034;18550;31-07-20;138;FALSE;6;673
3635;21600;05-04-20;9;FALSE;2;1887
5983;21000;21-04-20;98;FALSE;4;1164
5379;27600;09-09-21;35;FALSE;5;501
3929;26800;18-10-20;99;FALSE;2;73
5589;18500;09-04-20;36;FALSE;6;1026
5324;28050;28-09-20;32;FALSE;5;559
6137;36450;09-12-21;129;FALSE;1;233
6202;36450;07-04-21;135;FALSE;1;233
4268;30800;14-05-21;79;FALSE;2;623
5888;50000;18-04-21;69;FALSE;4;529
6320;3300;15-08-20;76;FALSE;6;7346
4110;63700;01-04-20;40;FALSE;2;21
5159;29400;16-09-20;28;FALSE;3;1266
3749;57000;13-02-21;108;FALSE;4;11156
4764;49800;30-05-21;64;FALSE;6;7344
4413;42500;18-07-21;110;FALSE;2;500
4949;38500;25-05-20;128;TRUE;1;529
4324;50700;24-01-20;41;FALSE;3;2993
5868;29050;08-03-21;45;FALSE;5;7344
5214;45000;08-09-21;123;FALSE;5;529
5520;3630;24-02-20;38;FALSE;1;124
4823;41650;24-01-20;150;FALSE;2;1372
4433;21000;09-06-20;81;FALSE;1;866
4090;23650;06-08-20;137;TRUE;4;1352
5147;49800;02-04-21;28;FALSE;6;7344
5585;4950;30-04-20;36;TRUE;5;733
5193;23650;01-08-20;85;TRUE;4;1352
5329;21450;23-01-21;32;FALSE;3;231
5244;20250;21-07-20;88;FALSE;5;11198
4361;29500;05-06-20;148;FALSE;4;19560
3994;10000;05-10-21;77;FALSE;3;427
4671;66000;10-08-21;142;FALSE;3;545
5619;24150;17-10-21;134;FALSE;3;501
4235;18000;25-03-20;143;FALSE;6;11198
5078;5600;23-03-21;82;FALSE;3;1871
4097;17545;07-12-21;40;TRUE;6;1802
5270;51000;21-01-21;88;FALSE;3;1970
4623;57750;02-09-21;120;FALSE;2;11133
